S. No.,SITE_ID,DISTRICT,Block,VILLAGE,ELEVATION,FORMATION,River Basin,Normal (1901-70),Average rainfall (2012-21) (mm),Rainfall (2021) (mm),Departure (%) in 2021 from normal rainfall,Departure (%) in 2021 from Average rainfall,MAY_bgl,AUG_bgl,NOV_bgl,JAN_bgl,DEPTH,MAY_flu,AUG_flu,NOV_flu,JAN_flu
,,SAWAI MADHOPUR,KHANDAR,KHANDAR1,231,Shale,Banas,655.8,796.45,1014,35.33,21.45,9.16,2.91,2.14,3.32,36.67,-5.61,-3.43,-3.65,-4.13
,,SAWAI MADHOPUR,SAWAI MADHOPUR,Kushlipura,264,Quartzite,Chambal,655.8,796.45,1014,35.33,21.45,6.35,1.58,1.1,3.96,15,3.02,4.67,4.00,3.57
,,SAWAI MADHOPUR,CHAUTH KA BARWARA,KUSHTALA,267,Older Alluvium,Banas,655.8,796.45,1014,35.33,21.45,0,2.16,0,8.62,16,-1.59,-0.59,0.41,1.41
,,SAWAI MADHOPUR,BONLI,MALARNACHOR,247,Older Alluvium,Banas,655.8,796.45,1014,35.33,21.45,2.79,1.49,0.39,3.44,18,-1.42,5.12,2.33,2.59
,,SAWAI MADHOPUR,GANGAPUR,MEENAPARA,243,Older Alluvium,Banas,655.8,796.45,1014,35.33,21.45,21.75,15.37,15.45,16.22,26,-3.29,-1.72,1.40,-1.03
,,SAWAI MADHOPUR,BAMANWAS,MORAL TIWARA,236,Older Alluvium,Banas,655.8,796.45,1014,35.33,21.45,10.5,6.4,6,6.41,20,-2.67,3.93,6.07,5.60
,,SAWAI MADHOPUR,KHANDAR,PHARIYA,226,Shale,Chambal,655.8,796.45,1014,35.33,21.45,12.94,2.44,8.16,5.68,18,-0.24,2.89,1.25,0.66
,,SAWAI MADHOPUR,GANGAPUR,Ram Singh Pura,250,Older Alluvium,Banas,655.8,796.45,1014,35.33,21.45,6.2,1.77,1.82,2.64,84,0.16,1.29,1.16,0.94
,,SAWAI MADHOPUR,SAWAI MADHOPUR,RANTHAMBOR,403,Hills,Banas,655.8,796.45,1014,35.33,21.45,9.85,4.75,4.02,5.06,14.64,-0.09,,5.37,5.88
,,SAWAI MADHOPUR,GANGAPUR,SEWA,269,Older Alluvium,Gambhir,655.8,796.45,1014,35.33,21.45,7.06,0.57,5.03,6.19,13,0.10,3.57,3.63,4.78
,,SAWAI MADHOPUR,SAWAI MADHOPUR,SURWAL,246,Older Alluvium,Banas,655.8,796.45,1014,35.33,21.45,12.27,2.37,5.82,0,15,-2.57,-2.17,-3.19,-2.97
,,SAWAI MADHOPUR,BONLI,TOND,244,Older Alluvium,Banas,655.8,796.45,1014,35.33,21.45,6.29,2.19,0.64,3.81,16.9,-2.32,-0.38,-1.21,-1.50
,,SIKAR,SRIMADHOPUR,Ajitgarh,531,Older Alluvium,Sabi,459.8,564.88,680,32.42,16.98,53,53,55.6,54.4,92.9,-0.31,4.26,0.59,0.13
,,SIKAR,DHOND,Anokhu_Pz,405,Older Alluvium,The Outside Basin,459.8,564.88,680,32.42,16.98,80.22,74.63,74.67,74.69,90,1.14,7.77,-1.35,-2.09
,,SIKAR,DANTA RAMGARH,BAI2,423,Older Alluvium,Shekhawati (Mendha),459.8,564.88,680,32.42,16.98,18.34,17.69,17.64,17.39,41,-5.59,2.93,0.61,-1.45
,,SIKAR,LACHHMANGARH,BALARAN,338,Older Alluvium,The Outside Basin,459.8,564.88,680,32.42,16.98,57.13,57.27,57.47,57.45,87.66,-2.76,0.32,0.44,1.24
,,SIKAR,NEEM KA THANA,Barala,418,Quartzite,Shekhawati (Mendha),459.8,564.88,680,32.42,16.98,6.4,6.1,5.6,6.2,22,-6.02,-5.02,-4.02,-3.02
,,SIKAR,LACHHMANGARH,Bau,385,Older Alluvium,The Outside Basin,459.8,564.88,680,32.42,16.98,76.8,77.1,76.95,77.55,101.1,-0.31,0.14,-1.08,-1.64
,,SIKAR,FATEHPUR,Bibipur,335,Older Alluvium,The Outside Basin,459.8,564.88,680,32.42,16.98,44.18,44.3,44.24,44.26,90,-0.97,0.76,-1.42,0.42
,,SIKAR,FATEHPUR,Bikamsara,331,Older Alluvium,The Outside Basin,459.8,564.88,680,32.42,16.98,40.2,40.16,40.21,40.28,88.5,0.63,2.22,-0.58,-0.23
,,SIKAR,DHOND,Binjyasi,421,Older Alluvium,The Outside Basin,459.8,564.88,680,32.42,16.98,64.9,70.05,70.28,70.45,101,3.49,3.79,-1.97,-0.97
,,SIKAR,LACHHMANGARH,CHINCHAS,348,Older Alluvium,The Outside Basin,459.8,564.88,680,32.42,16.98,52.35,52.48,52.6,52.76,88.9,-3.50,-0.19,-0.12,0.70
,,SIKAR,LACHHMANGARH,Datunjala,356,Older Alluvium,The Outside Basin,459.8,564.88,680,32.42,16.98,0,57.58,0,0,87,-4.16,1.22,-0.85,-2.61
,,SIKAR,FATEHPUR,Dewas,316,Older Alluvium,The Outside Basin,459.8,564.88,680,32.42,16.98,36.1,36.12,35.78,35.88,76.4,1.43,8.88,-0.51,-1.91
,,SIKAR,FATEHPUR,Dhanadhan,313,Older Alluvium,The Outside Basin,459.8,564.88,680,32.42,16.98,35.25,35.24,35.07,35.27,94.5,-3.87,2.04,-0.24,2.66
,,SIKAR,DHOND,DHOD,425,Older Alluvium,The Outside Basin,459.8,564.88,680,32.42,16.98,82.49,82.84,83.17,83.39,111,-1.60,2.58,0.56,0.04
,,SIKAR,KHANDELA,Dhudhwalo Ka Bas,503,Older Alluvium,The Outside Basin,459.8,564.88,680,32.42,16.98,65.65,64.85,65.95,66.05,73,-2.68,0.49,-0.89,-1.68
,,SIKAR,LACHHMANGARH,Garoda,348,Older Alluvium,The Outside Basin,459.8,564.88,680,32.42,16.98,44,44.09,44.93,45.15,81,10.22,14.03,1.68,-1.31
,,SIKAR,LACHHMANGARH,GHANA,365,Older Alluvium,The Outside Basin,459.8,564.88,680,32.42,16.98,70.09,70.29,70.38,70.7,98.5,-5.40,0.40,-2.73,-4.86
,,SIKAR,PIPRALI,GOKALPURA,451,Older Alluvium,The Outside Basin,459.8,564.88,680,32.42,16.98,67.3,67.56,67.58,67.72,90.1,-1.01,1.28,-2.34,-2.31
,,SIKAR,PIPRALI,Goriya,451,Older Alluvium,The Outside Basin,459.8,564.88,680,32.42,16.98,36.75,37.27,38.13,37.19,83,-5.89,3.36,0.41,-0.71
,,SIKAR,FATEHPUR,Harsawa Bara,344,Older Alluvium,The Outside Basin,459.8,564.88,680,32.42,16.98,48.8,47.54,49.04,48.85,93.5,-0.17,1.24,-0.20,-0.40
,,SIKAR,LACHHMANGARH,JAJOD,346,Older Alluvium,The Outside Basin,459.8,564.88,680,32.42,16.98,53.53,53.43,53.32,53.47,91.5,-4.92,3.24,0.19,-1.99
,,SIKAR,DANTA RAMGARH,KARANPURA,460,Older Alluvium,The Outside Basin,459.8,564.88,680,32.42,16.98,72.9,72.46,71.53,72.61,82.5,5.43,10.73,5.85,4.26
,,SIKAR,DANTA RAMGARH,Khatu Shyamji,448,Older Alluvium,Shekhawati (Mendha),459.8,564.88,680,32.42,16.98,34.6,35.43,35.58,35.8,64,-3.89,3.64,1.83,-0.78
,,SIKAR,PIPRALI,Nani,421,Older Alluvium,The Outside Basin,459.8,564.88,680,32.42,16.98,58.25,58.18,57.62,57.55,131,-4.63,1.52,-1.71,-3.85
,,SIKAR,SRIMADHOPUR,Nathusar,482,Younger Alluvium,Shekhawati (Mendha),459.8,564.88,680,32.42,16.98,51,50.4,50.75,50.3,66,-0.90,-0.53,-1.47,-0.45
,,SIKAR,LACHHMANGARH,NECHWA,357,Older Alluvium,The Outside Basin,459.8,564.88,680,32.42,16.98,44.7,44.8,44.42,44.54,69,3.04,7.97,-1.75,-9.26
,,SIKAR,PIPRALI,PALSANA,492,Older Alluvium,The Outside Basin,459.8,564.88,680,32.42,16.98,48.29,48.59,45.92,45.36,62,1.52,3.53,-4.25,-3.25
,,SIKAR,PATAN,PATAN,418,Quartzite,Sabi,459.8,564.88,680,32.42,16.98,13.32,12.37,9.22,9.92,18,5.60,4.75,3.37,2.38
,,SIKAR,FATEHPUR,Ramsisar,313,Older Alluvium,The Outside Basin,459.8,564.88,680,32.42,16.98,35.5,35.39,35.69,35.89,90,-0.29,-0.82,0.18,0.29
,,SIKAR,FATEHPUR,ROHALSOBHSAR,313,Older Alluvium,The Outside Basin,459.8,564.88,680,32.42,16.98,36.22,36.12,35.7,35.97,105,8.29,12.02,5.64,1.91
,,SIKAR,FATEHPUR,ROOKANSAR,306,Older Alluvium,The Outside Basin,459.8,564.88,680,32.42,16.98,31.72,31.82,31.73,31.83,87.04,-3.36,2.01,6.02,4.70
,,SIKAR,LACHHMANGARH,Roru Badi,344,Older Alluvium,The Outside Basin,459.8,564.88,680,32.42,16.98,43.6,43.5,44.1,44.09,78,0.73,1.73,2.73,3.73
,,SIKAR,LACHHMANGARH,Roru Badi_I,344,Older Alluvium,The Outside Basin,459.8,564.88,680,32.42,16.98,44.06,43.95,44.1,44.1,78,-1.47,-0.47,6.10,1.71
,,SIKAR,DHOND,Sabalpura,423,Older Alluvium,The Outside Basin,459.8,564.88,680,32.42,16.98,84.9,85.04,85.26,85.6,137.5,-0.06,4.88,4.98,3.72
,,SIKAR,LACHHMANGARH,Sekhiwas,338,Older Alluvium,The Outside Basin,459.8,564.88,680,32.42,16.98,42.03,42.03,41.67,42,79,3.86,4.86,5.86,6.86
,,SIROHI,SHEOGANJ,AMBESHWARJI,279,Phyllite,Luni,606.3,714.90,692,12.38,-3.31,3.33,4.33,3.13,3.28,25.43,0.30,5.10,2.61,3.00
,,SIROHI,REODAR,Anadara,272,Phyllite,Sukli,606.3,714.90,692,12.38,-3.31,20.1,10.9,9.5,16.3,150,5.32,6.32,7.32,8.32
,,SIROHI,SIROHI,BARLOT,230,Younger Alluvium,Luni,606.3,714.90,692,12.38,-3.31,0,0,0,33.97,35,-3.25,-2.25,-1.25,-2.26
,,SIROHI,REODAR,GULABGANJ,287,Phyllite,Sukli,606.3,714.90,692,12.38,-3.31,11.09,12.09,0,11.99,22,3.97,9.82,4.92,4.35
,,SIROHI,REODAR,JIRAWAL,257,Granite,Sukli,606.3,714.90,692,12.38,-3.31,9.76,10.36,8.36,8.76,30,-4.94,1.46,0.60,0.31
,,SIROHI,SIROHI,KALANDRI,262,Granite,Luni,606.3,714.90,692,12.38,-3.31,13.58,17.48,12.58,12.08,18,4.54,8.52,0.09,-1.17
,,SIROHI,ABU ROAD,Manpur2,250,Granite,West Banas,606.3,714.90,692,12.38,-3.31,14.77,9.02,8.12,8.02,150,-0.60,0.25,-0.81,-2.73
,,SIROHI,SIROHI,Mera Kishanganj Pz,317,Phyllite,Luni,606.3,714.90,692,12.38,-3.31,26.4,27.1,0,17.9,120,-1.19,1.98,-0.38,-0.33
,,SIROHI,ABU ROAD,Mungthalla,252,Hills,West Banas,606.3,714.90,692,12.38,-3.31,6.95,8.1,8.1,8.45,150,0.58,1.58,2.58,-0.41
,,SIROHI,SIROHI,PALRI,349,Phyllite,Luni,606.3,714.90,692,12.38,-3.31,16.27,15.07,12.47,12.57,30,-10.06,-3.47,-2.16,-1.90
,,SIROHI,REODAR,Reodar,256,Phyllite,Sukli,606.3,714.90,692,12.38,-3.31,18.6,18.1,16.65,18.1,150,0.74,7.74,3.61,4.65
,,SIROHI,PINDWARA,SARUPGAN,334,Schist,West Banas,606.3,714.90,692,12.38,-3.31,0,21.43,12.53,16.68,25,2.13,7.83,4.19,-1.84
,,SIROHI,SIROHI,SIROHI,319,Granite,Luni,606.3,714.90,692,12.38,-3.31,15.31,16.01,15.71,17.31,27.26,0.17,0.82,0.62,0.93
,,SIROHI,ABU ROAD,SIYANA,264,Hills,West Banas,606.3,714.90,692,12.38,-3.31,8.18,8.38,8.28,8.78,11.08,-1.59,-0.59,0.54,-1.71
,,SIROHI,PINDWARA,VIRWARA,403,Granite,Luni,606.3,714.90,692,12.38,-3.31,9.55,10.25,5.25,7.05,19.55,-2.84,-1.84,2.01,-1.88
,,TONK,UNIARA,ALIGARH,272,Gneiss,Banas,598.2,802.38,818,26.89,1.94,29.39,8.52,8.19,23.49,31,-3.10,-1.70,-3.63,-5.99
,,TONK,TONK,ARNIYALMAL,291,Schist,Banas,598.2,802.38,818,26.89,1.94,5.9,5.7,3.8,3.62,11.7,-5.42,-7.15,-9.03,-5.14
,,TONK,DEOLI,BANTHOLI,299,Schist,Banas,598.2,802.38,818,26.89,1.94,10.8,7.37,6.66,9.03,14,4.63,5.63,4.86,6.16
,,TONK,MALPURA,DEWAL1,339,Gneiss,Banas,598.2,802.38,818,26.89,1.94,3.6,2.2,3.55,3.7,10,3.88,-2.16,-3.72,-3.67
,,TONK,UNIARA,DIKOLIYA,280,Older Alluvium,Banas,598.2,802.38,818,26.89,1.94,10.93,2.03,3.28,1.71,14,-4.35,-4.63,-6.22,-7.09
,,TONK,TONK,Ghans,274,Schist,Banas,598.2,802.38,818,26.89,1.94,5.3,3.79,1.18,1.16,196.8,-1.67,-3.61,-4.28,-2.81
,,TONK,TODARAISINGH,HAMIRPUR,287,Schist,Banas,598.2,802.38,818,26.89,1.94,8.73,2.18,2.65,4.02,15,-4.67,-3.67,0.28,1.28
,,TONK,UNIARA,JAINAGAR,239,Older Alluvium,Banas,598.2,802.38,818,26.89,1.94,0,3.97,0,0,23,-3.64,-0.59,-1.82,-0.60
,,TONK,MALPURA,JAISINGHPUR,315,Schist,Banas,598.2,802.38,818,26.89,1.94,6.25,0.25,1.15,2.22,10.85,6.94,1.39,0.01,0.97
,,TONK,TONK,MAHUVA,283,Older Alluvium,Banas,598.2,802.38,818,26.89,1.94,7.89,2.57,4.39,4.24,9,0.63,1.76,0.29,-0.25
,,TONK,MALPURA,MALPURA1,327,Schist,Banas,598.2,802.38,818,26.89,1.94,0,4.05,3.6,4.48,16.18,-0.09,-6.08,-2.92,-6.67
,,TONK,TONK,Mehndwas,290,Schist,Banas,598.2,802.38,818,26.89,1.94,16.4,14.15,11.8,14.8,20,3.73,0.55,0.30,-2.11
,,TONK,DEOLI,Nagar1,297,Schist,Banas,598.2,802.38,818,26.89,1.94,10.7,0.97,6.6,9,15,1.06,-1.54,-2.26,-1.96
,,TONK,UNIARA,NAYAGAON,280,Schist,Banas,598.2,802.38,818,26.89,1.94,8.71,2.72,3.49,3.59,11.11,-0.48,-4.26,-0.45,-1.09
,,TONK,NIWAI,NIWAI1,321,Older Alluvium,Banas,598.2,802.38,818,26.89,1.94,25.65,8.25,14.45,13.93,40,4.45,-5.19,-1.56,-0.56
,,TONK,DEOLI,RAMTHALA,315,Older Alluvium,Banas,598.2,802.38,818,26.89,1.94,3.41,0.11,0.31,0.51,10,1.17,1.00,-1.44,1.01
,,TONK,TONK,Rustamganj,284,Schist,Banas,598.2,802.38,818,26.89,1.94,11.8,5.33,6.02,4.51,160.4,10.56,6.71,10.53,9.53
,,TONK,TONK,SOHELA,268,Schist,Banas,598.2,802.38,818,26.89,1.94,7.6,6.14,3.65,4.92,16.61,12.76,4.17,2.63,5.28
,,TONK,UNIARA,Sop1,262,Schist,Chambal,598.2,802.38,818,26.89,1.94,0,2.1,24.99,21.18,150,0.28,0.62,0.65,-0.48
,,TONK,TODARAISINGH,TODARAISINGH1,391,Schist,Banas,598.2,802.38,818,26.89,1.94,3,2.3,0.55,1.92,16.14,2.25,3.53,4.24,4.29
,,UDAIPUR,PHALASIYA,AMALIA,554,Phyllite,Sabarmati,632.7,726.62,788,19.70,7.79,5.9,4.8,2.6,3.5,12,-2.83,0.93,-2.94,-1.13
,,UDAIPUR,DHARIAWAD,ARAMPUR,407,Hills,Mahi,632.7,726.62,788,19.70,7.79,4,2.1,0.8,1.5,7.3,8.27,6.49,6.30,5.62
,,UDAIPUR,SALUMBAR,BASSI,283,Phyllite,Mahi,632.7,726.62,788,19.70,7.79,3.55,1.55,2.35,2.25,8.45,0.29,0.04,0.46,-0.80
,,UDAIPUR,BHINDAR,BHATEWAR,493,BGC,Banas,632.7,726.62,788,19.70,7.79,5.04,5.04,8.39,4.24,22,-0.64,-0.27,0.53,0.42
,,UDAIPUR,BHINDAR,BHINDER,488,Hills,Banas,632.7,726.62,788,19.70,7.79,14.8,13.75,11.85,12.45,17.72,-1.03,3.39,5.28,4.91
,,UDAIPUR,BHINDAR,Bhinder_,488,Hills,Banas,632.7,726.62,788,19.70,7.79,8.85,8.05,7.09,7.45,150,1.50,1.42,2.91,2.28
,,UDAIPUR,MAVLI,BHOYANA,525,Phyllite,Banas,632.7,726.62,788,19.70,7.79,0,0,6.9,3.95,14,2.88,3.88,4.88,5.88
,,UDAIPUR,BARGAON,CHIRWA,717,Phyllite,Banas,632.7,726.62,788,19.70,7.79,7.3,8.2,8.9,7.96,125.75,-0.03,0.65,0.18,-0.25
,,UDAIPUR,JHALARA,DEOLA,257,Hills,Mahi,632.7,726.62,788,19.70,7.79,3.6,1.9,2.4,2.6,8.16,0.15,0.78,0.36,0.50
,,UDAIPUR,SARADA,DINGRI,268,Phyllite,Mahi,632.7,726.62,788,19.70,7.79,3.08,1.88,2.48,2.78,7,9.87,8.34,9.15,9.74
,,UDAIPUR,MAVLI,GADOLI,540,BGC,Banas,632.7,726.62,788,19.70,7.79,7.5,5.74,5.01,4.7,116.52,5.32,4.36,4.78,5.56
,,UDAIPUR,PHALASIYA,Garanwas,530,Hills,Sabarmati,632.7,726.62,788,19.70,7.79,11.6,5.7,5.2,5.8,15,1.43,1.74,2.58,2.38
,,UDAIPUR,PHALASIYA,Ghori Mari,513,Phyllite,Sabarmati,632.7,726.62,788,19.70,7.79,9.3,7.9,7.6,8,14.8,7.01,5.71,7.32,7.13
,,UDAIPUR,SALUMBAR,GUREL,313,BGC,Mahi,632.7,726.62,788,19.70,7.79,12.14,11.54,12.64,12.94,16.45,8.34,6.47,7.66,7.20
,,UDAIPUR,BHINDAR,HARIYAB,520,BGC,Banas,632.7,726.62,788,19.70,7.79,18.33,16.43,14.33,11.53,20,9.19,9.36,10.71,9.14
,,UDAIPUR,SALUMBAR,INTALIKHARA,230,Phyllite,Mahi,632.7,726.62,788,19.70,7.79,2.1,2.5,3.1,3.5,116.4,1.82,0.56,4.96,1.65
,,UDAIPUR,GOGUNDA,JASWANTGARH,837,Schist,Banas,632.7,726.62,788,19.70,7.79,3.6,3.25,8.95,9.1,17.79,1.40,1.39,0.99,1.53
,,UDAIPUR,RISHABHDEV,KALAYANPURA,278,Phyllite,Mahi,632.7,726.62,788,19.70,7.79,3.64,3.34,4.64,5.04,6,3.32,1.47,1.19,3.26
,,UDAIPUR,BHINDAR,KANOD,471,BGC,Mahi,632.7,726.62,788,19.70,7.79,8.8,6.1,4,4.6,14.2,7.84,8.78,8.97,8.97
,,UDAIPUR,GIRWA,KANPUR,565,Phyllite,Banas,632.7,726.62,788,19.70,7.79,4.86,4.51,1.56,1.46,15.41,0.37,0.96,0.30,-0.39
,,UDAIPUR,SAYRA,KATHAR1,803,Phyllite,Banas,632.7,726.62,788,19.70,7.79,2.1,2.4,2.25,2.3,6.8,11.27,8.98,7.97,3.80
,,UDAIPUR,SALUMBAR,KHAIRKA,315,BGC,Mahi,632.7,726.62,788,19.70,7.79,13.2,3.6,1.4,2.6,15,1.86,1.96,2.59,2.41
,,UDAIPUR,BHINDAR,KHERODA,477,BGC,Banas,632.7,726.62,788,19.70,7.79,15.5,11.9,12.8,10.35,33,3.09,3.89,1.11,2.57
,,UDAIPUR,KHERWARA,KHERWARA,517,Phyllite,Mahi,632.7,726.62,788,19.70,7.79,8.21,3.61,3.91,4.51,12.89,1.96,3.54,-0.83,-1.38
,,UDAIPUR,JHALARA,KHOLRI,229,BGC,Mahi,632.7,726.62,788,19.70,7.79,4,4.8,2.5,3.1,13.22,0.45,0.31,0.62,0.77
,,UDAIPUR,PHALASIYA,LUNIYARA,458,Hills,Sabarmati,632.7,726.62,788,19.70,7.79,3.44,1.84,1.64,2.14,13,0.23,-0.26,-0.57,-1.33
,,UDAIPUR,PHALASIYA,MANPUR,387,Hills,Sabarmati,632.7,726.62,788,19.70,7.79,3.98,3.88,3.98,4.78,10,-1.29,-0.96,-1.21,1.03
,,UDAIPUR,MAVLI,MAVLI1,494,BGC,Banas,632.7,726.62,788,19.70,7.79,20.25,21.01,19.98,19.85,24.82,-0.23,-0.09,0.62,0.29
,,UDAIPUR,KHERWARA,Neecha Talab,419,Phyllite,Mahi,632.7,726.62,788,19.70,7.79,2.6,2.1,2.6,3.25,10.5,0.18,1.26,0.50,0.31
,,UDAIPUR,GOGUNDA,PADAWALI,601,Phyllite,Sabarmati,632.7,726.62,788,19.70,7.79,4.45,3.35,4.15,4,9.45,15.38,14.58,13.41,11.11
,,UDAIPUR,GIRWA,PADUNA,518,Hills,Mahi,632.7,726.62,788,19.70,7.79,2.01,0.92,1.42,2.82,8,-0.13,0.46,-0.27,-0.08
,,UDAIPUR,SARADA,PARSHAD,395,Phyllite,Mahi,632.7,726.62,788,19.70,7.79,4.3,4.6,4,5.3,8.2,-1.06,2.34,0.66,0.42
,,UDAIPUR,GIRWA,Ramgiri(badagaon),615,Phyllite,Banas,632.7,726.62,788,19.70,7.79,10.5,9.07,3.6,3.8,15.5,1.83,-2.10,-3.83,0.92
,,UDAIPUR,SALUMBAR,SALUMBER1,255,Phyllite,Mahi,632.7,726.62,788,19.70,7.79,8.88,8.38,5.78,9.38,11.58,4.33,5.33,6.33,7.33
,,UDAIPUR,BARGAON,SANGATH,747,Phyllite,Banas,632.7,726.62,788,19.70,7.79,13.64,13.15,6.24,8.64,21,-0.65,3.09,4.09,4.52
,,UDAIPUR,SARADA,SARADA,286,BGC,Mahi,632.7,726.62,788,19.70,7.79,2.05,1.45,1.95,2.45,17.54,-0.65,3.09,4.09,4.52
,,UDAIPUR,GIRWA,SAVINA,583,Phyllite,Banas,632.7,726.62,788,19.70,7.79,4.5,3.1,3.4,3.5,34,-1.06,2.34,0.66,0.42
,,UDAIPUR,SEMARI,SEMARI,288,Hills,Mahi,632.7,726.62,788,19.70,7.79,2.8,3.2,3.8,4.5,7.03,1.83,-2.10,-3.83,0.92
,,UDAIPUR,PHALASIYA,SOM1,634,Phyllite,Sabarmati,632.7,726.62,788,19.70,7.79,9.26,5.46,4.06,4.56,15.56,4.33,5.33,6.33,7.33
,,UDAIPUR,BARGAON,SRIMALI KARIA,895,Phyllite,Banas,632.7,726.62,788,19.70,7.79,2.05,2.5,0.25,0.75,20.34,-0.65,3.09,4.09,4.52
,,UDAIPUR,GIRWA,UNDRI,685,Hills,Banas,632.7,726.62,788,19.70,7.79,0.7,0.5,1.7,2.35,10,-0.65,3.09,4.09,4.52
